DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2022-03-01 05:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8129.5	2022-03-03 10:16:05
2022-03-02 18:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8985.5	2022-03-04 10:01:39
2022-03-02 17:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	9305.9	2022-03-04 10:01:39
2022-03-02 16:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8965.6	2022-03-04 10:01:39
2022-03-02 15:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8552.1	2022-03-04 10:01:39
2022-03-02 14:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8441.7	2022-03-04 10:01:39
2022-03-02 13:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8399.0	2022-03-04 10:01:39
2022-03-02 12:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8519.7	2022-03-04 10:01:39
2022-03-02 11:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8690.5	2022-03-04 10:01:39
2022-03-02 10:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	9037.4	2022-03-04 10:01:39
2022-03-02 09:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	9173.5	2022-03-04 10:01:39
2022-03-02 08:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	9237.8	2022-03-04 10:01:39
2022-03-02 07:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	9313.3	2022-03-04 10:01:39
2022-03-02 06:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	9116.4	2022-03-04 10:01:39
2022-03-02 05:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8408.7	2022-03-04 10:01:39
2022-03-02 04:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	7399.8	2022-03-04 10:01:39
2022-03-02 03:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	6797.0	2022-03-04 10:01:39
2022-03-02 02:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	6605.2	2022-03-04 10:01:39
2022-03-02 01:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	6660.2	2022-03-04 10:01:39
2022-03-02 00:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	6719.8	2022-03-04 10:01:39
2022-03-01 23:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	6973.9	2022-03-04 10:01:39
2022-03-01 22:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	7002.8	2022-03-03 10:16:05
2022-03-01 21:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	7507.4	2022-03-03 10:16:05
2022-03-01 20:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	7719.9	2022-03-03 10:16:05
2022-03-01 19:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8301.9	2022-03-03 10:16:05
2022-03-01 18:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8787.1	2022-03-03 10:16:05
2022-03-01 17:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	9032.0	2022-03-03 10:16:05
2022-03-04 23:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	6706.8	2022-03-05 01:45:53
2022-03-04 22:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	7046.5	2022-03-05 00:45:56
2022-03-04 21:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	7498.4	2022-03-04 23:45:53
2022-03-04 20:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	7656.4	2022-03-04 22:45:56
2022-03-04 19:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8202.7	2022-03-04 21:45:58
2022-03-04 18:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8758.7	2022-03-04 20:46:01
2022-03-04 17:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	9067.8	2022-03-04 19:45:59
2022-03-04 16:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8800.3	2022-03-04 18:45:55
